City,country,Date,Latitude,Longitude,Max_temp,Humidity,Cloudiness,Wind Speed
Ponta do Sol,PT,1650139339,32.6667,-17.1,293.77,48,100,3.39
Norman Wells,CA,1650139339,65.282,-126.8329,262.91,73,79,1.65
Acapulco de Juárez,MX,1650139290,16.8634,-99.8901,303.89,51,9,5.91
Bambous Virieux,MU,1650139340,-20.3428,57.7575,298.27,81,45,7.3
Herat Province,AF,1650139340,34.5,62.0,285.55,51,3,4.47
Christchurch,NZ,1650139341,-43.5333,172.6333,284.78,82,75,2.06
Boende,CD,1650139342,-0.2167,20.8667,296.06,87,21,1.35
Hualmay,PE,1650139342,-11.0964,-77.6139,294.75,73,100,5.6
Oussouye,SN,1650139342,12.485,-16.5469,296.21,63,16,6.26
Airai,TL,1650139343,-8.9266,125.4092,288.33,93,62,1.17
Sitka,US,1650139343,57.0531,-135.33,279.96,59,84,1.46
Tautira,PF,1650139344,-17.7333,-149.15,300.37,74,16,6.17
Vorotynets,RU,1650139344,56.0603,45.8633,272.86,98,100,7.78
Saskylakh,RU,1650139345,71.9167,114.0833,261.37,93,99,6.32
Abhā,SA,1650139345,18.2164,42.5053,291.38,46,3,2.03
Playa Vicente,MX,1650139345,17.8333,-95.8167,314.46,19,40,3.14
Gadsden,US,1650139126,34.0143,-86.0066,294.32,86,100,1.32
Aykhal,RU,1650139346,66.0,111.5,269.48,97,100,4.93
Cabo San Lucas,MX,1650139346,22.8909,-109.9124,301.58,44,100,4.09
Mayya,RU,1650139347,61.7333,130.2811,265.77,99,87,1.01
Longyearbyen,SJ,1650138777,78.2186,15.6401,264.28,91,90,2.56
Esperance,AU,1650139347,-33.8667,121.9,290.06,68,100,6.28
Maniitsoq,GL,1650138977,65.4167,-52.9,269.14,61,27,3.23
East London,ZA,1650139233,-33.0153,27.9116,289.84,76,100,4.04
Saint George,US,1650139348,37.1041,-113.5841,299.27,14,0,15.95
Salekhard,RU,1650139349,66.53,66.6019,258.48,92,98,1.82
Tomatlán,MX,1650139349,19.9333,-105.25,305.94,30,100,4.33
Toora-Khem,RU,1650139349,52.4675,96.11,273.12,89,56,1.16
Hasaki,JP,1650139350,35.7333,140.8333,279.37,63,100,3.81
Pangai,TO,1650139350,-19.8,-174.35,300.79,77,29,6.05
Kapaa,US,1650139351,22.0752,-159.319,297.66,83,91,1.79
Wattegama,LK,1650139351,6.7989,81.4808,297.06,95,77,1.37
Guerrero Negro,MX,1650139352,27.9769,-114.0611,293.07,62,100,9.53
Vila Franca do Campo,PT,1650139352,37.7167,-25.4333,290.38,82,100,3.58
Plátanos,GR,1650139353,37.6667,21.6167,290.26,61,100,4.61
Morondava,MG,1650139353,-20.2833,44.2833,301.04,83,70,2.55
